task,model,prec,rec,F1
ds13,mc.lm_SMOTEB,0.5154028829233513,0.6984454085557992,0.5928183155265597
ds13,mc.lm_SMOTET,0.5118428698523096,0.6768018834637531,0.582621540777926
ds13,mc.lm_SMOTETPhi,0.5025806126317969,0.6911672323735659,0.5817624064533901
ds13,mc.svm,0.6557597423871635,0.5218514458161233,0.5777798102089369
ds13,mc.svm_UNDERB,0.5001640948807969,0.6238968690476696,0.5546759292058249
ds13,mc.svm_UNDERT,0.4954661640616573,0.6226695195952228,0.5513447131102623
ds13,mc.svm_UNDERTPhi,0.48226016300038155,0.6631296692279368,0.5581080999143243
ds13,mc.svm_OVERB,0.5064695107979407,0.605759537963149,0.551164163807623
ds13,mc.svm_OVERT,0.48672060407476947,0.5926312620982932,0.5337747052809243
ds13,mc.svm_OVERTPhi,0.48836924906916385,0.5929339238739958,0.5347756578840499
ds13,mc.svm_SMOTEB,0.44752780327299113,0.6230515324337172,0.5206392678030676
ds13,mc.svm_SMOTET,0.4691969293726499,0.6357048825846061,0.5396549778969811
ds13,mc.svm_SMOTETPhi,0.4541505687401088,0.6468588596422816,0.5333200463621914
ds13,mc.mars,0.5797596332806105,0.5005805691107964,0.5327885638964276
ds13,mc.mars_UNDERB,0.5169329087083223,0.606044478247859,0.5569462674926777
ds13,mc.mars_UNDERT,0.5097412204620341,0.6137204362147558,0.5561560203508267
ds13,mc.mars_UNDERTPhi,0.502132464843096,0.6254315290436933,0.5565346402627187
ds13,mc.mars_OVERB,0.5394910772245946,0.6172748512329347,0.5753752548769586
ds13,mc.mars_OVERT,0.5215900798330362,0.597135583003819,0.5562186075913315
ds13,mc.mars_OVERTPhi,0.5177332924362615,0.598792022951669,0.5548842468246875
ds13,mc.mars_SMOTEB,0.4907085203105694,0.6374728848761894,0.5543422904749357
ds13,mc.mars_SMOTET,0.48742933942665234,0.6124705545088319,0.5425715571509537
ds13,mc.mars_SMOTETPhi,0.4863334082032707,0.6397273259467571,0.5521912987165254
ds13,mc.rf,0.47368055928042857,0.47193282185002405,0.4249150139688028
ds13,mc.rf_UNDERB,0.5873554657669002,0.56142573356809,0.5728022419337743
ds13,mc.rf_UNDERT,0.5930869321442882,0.5707664862478478,0.5807541102499202
ds13,mc.rf_UNDERTPhi,0.5864535265349238,0.5720708139940887,0.5783787306009708
ds13,mc.rf_OVERB,0.6072763619455921,0.4965264510011593,0.5440158540096123
ds13,mc.rf_OVERT,0.5604291549775026,0.4841450003305311,0.515284544238563
ds13,mc.rf_OVERTPhi,0.569481452070151,0.4841247859842829,0.5186820103096881
