workflow,model_family,strategy,variant_index,cost,gamma,un,ov,prec,rec,F1
mc.svm_SMOTEB18,svm,SMOTEB,18.0,300.0,0.001,0.2,2.0,0.494425770397807,0.512275283083699,0.508104843291532
mc.svm_SMOTEB19,svm,SMOTEB,19.0,10.0,0.01,0.4,2.0,0.477850437398192,0.495396947621731,0.512417764935365
mc.svm_SMOTEB20,svm,SMOTEB,20.0,150.0,0.01,0.4,2.0,0.444184538801488,0.495685915142858,0.456631615765011
mc.svm_SMOTEB21,svm,SMOTEB,21.0,300.0,0.01,0.4,2.0,0.418428887002704,0.49613909457056,0.458325262177242
mc.svm_SMOTEB22,svm,SMOTEB,22.0,10.0,0.001,0.4,2.0,0.540051818232455,0.451302286975765,0.506986614048899
mc.svm_SMOTEB23,svm,SMOTEB,23.0,150.0,0.001,0.4,2.0,0.551290447186086,0.485507098086596,0.51369248919531
mc.svm_SMOTEB24,svm,SMOTEB,24.0,300.0,0.001,0.4,2.0,0.53489848689955,0.488368813859392,0.51182673998273
mc.svm_SMOTEB25,svm,SMOTEB,25.0,10.0,0.01,0.6,2.0,0.456244146662973,0.491821858630175,0.485598150862918
mc.svm_SMOTEB26,svm,SMOTEB,26.0,150.0,0.01,0.6,2.0,0.430386070501589,0.510562904240445,0.451448538435028
mc.svm_SMOTEB27,svm,SMOTEB,27.0,300.0,0.01,0.6,2.0,0.410449358513832,0.515029756261269,0.439693463232148
mc.svm_SMOTEB28,svm,SMOTEB,28.0,10.0,0.001,0.6,2.0,0.354177459654629,0.452973149124076,0.466043842673112
mc.svm_SMOTEB29,svm,SMOTEB,29.0,150.0,0.001,0.6,2.0,0.556950611541385,0.482151707103074,0.535916172025718
mc.svm_SMOTEB30,svm,SMOTEB,30.0,300.0,0.001,0.6,2.0,0.600029448661731,0.486268127525491,0.540504483771612
mc.svm_SMOTEB31,svm,SMOTEB,31.0,10.0,0.01,0.8,2.0,0.273405897537346,0.466213798683155,0.366449588580145
mc.svm_SMOTEB32,svm,SMOTEB,32.0,150.0,0.01,0.8,2.0,0.404947339715943,0.489883150961954,0.441271658672479
mc.svm_SMOTEB33,svm,SMOTEB,33.0,300.0,0.01,0.8,2.0,0.407108085193743,0.494387100296239,0.44549030793199
mc.svm_SMOTEB34,svm,SMOTEB,34.0,10.0,0.001,0.8,2.0,0.243641824475901,0.439581211693054,1.99995383247131e-05
